主人公的红色！,主角的红色!
红色也有各种各样的东西,代表世界上也有很多种红色
贯彻自己的信念！,要贯彻自己的信念!
追加的自主锻炼,额外的自主训练
不能落后于流行啊,那我们可不能跟不上潮流呢
不，现在流行的是CD（cool down）！,不对，现在的流行是CD（缓和运动）！
舞蹈课,舞蹈练习
应该更加全力以赴,应该要更全力以赴
应该试着长时间保持,应该要长时间维持动作
小金船的！唐突的过去篇！,阿船的突然追忆过去篇!
再现一下当时的汤怎么样？,试着重现当时的汤头吧?
去那个时候的地方看看怎么样？,到当时的地方再看看吧?
特别的朋友？,珍藏的好朋友?
蔬菜最好吃,还是要吃蔬菜比较好
想做就做吧,照你想做的去做就好
幸运七,幸运7
孤高一人○,喜欢独处○
孤高一人◎,喜欢独处◎
为了保持体重,为了维持体重
坚持到比赛结束,乖乖忍耐到比赛结束
只跑吃的量就没问题,用跑步消耗多吃的部分就行了
有点想去的很棒的地方,想稍微绕去的美好场所
老老实实地走回去,乖乖走路回去
劝说换乘公共汽车回去,说服她转乘巴土坐回去
请保重！,保重身体!
練習上手○,擅长练习○
練習上手◎,擅长练习◎
練習下手,不擅练习
钻石的讲究,光钻的坚持
尽量老实点吧……,我们就尽量安分地等待吧……
会不会发生不幸，去确认一下吧！,我们去确认会不会发生不幸事件吧!
新年的抱负,新年抱负
增强能跑长途的力量吧！,锻炼出可以长距离奔跑的实力吧
今后一起考虑吧,接下来一起来思考吧
去巨蛋巡演吧！,来办巨蛋巡回吧！
小金船流约会,阿船流约会
我去买点饮料来,我去买饮料吧
延长赛！要做到胜利！,比延长赛！比到我赢为止！
掉的东西是？,掉了什么？
钢铁制的食品样品,钢铁制的食物样品
适配7G的超快速智能手机,支援7G的超快速手机
人情不为人,好心终会有好报
不快点治好的话,你要快点好起来喔
我可不能输给这种精神啊！,你可要比她还有活力才行喔!
一起打西瓜吧,一起玩劈西瓜
一起远游吧,一起长泳
只有你是绝对的,面对你时我绝不放弃
好难啊，最喜欢了！,最喜欢困难的事情！
好，试试看！,好，那就试试看吧！
先看看情况吧,稍微先确认一下情况吧
逃马踌躇,使领头迟疑
先马踌躇,使前列迟疑
差马踌躇,使居中迟疑
追马踌躇,使后追迟疑
吃了再确认魅力吧,先透过吃，重新了解它的魅力吧
掌握烹饪技巧吧,学习料理的技巧吧
想一想崭新的安排吧,想出崭新的口味吧
合宿期间打碎的西瓜数量,你在集训劈开的西瓜数量
合宿中捡到的蝉蜕数量,你在集训捡到蝉的空壳数量
最棒了！,太棒了！
再往上走！,往更高的目标迈进吧！
啊，友情,啊啊，友情
非常有力量！,是强而有力的歌声!
只是为正式演出做准备！,就只等正式上场了!
诶，我的打工…太糟糕了？,欸，我的打工……这么糟吗？
体力劳动！,做苦工!
炒面烹饪！,制作炒面!
对不起吃多了！,暴饮暴食无罪！
只推荐一个就足够了！,只吃推荐菜单就够了!
我明白了！,没问题!
第二天齐声嘶哑,隔天全都破嗓
用饮料来恢复吧！,喝饮料恢复体力吧!
想起那个锻炼的日子！,回想起辛苦锻炼的日子吧!
今天也很好！,你今天的表现也很好
我不会输的！,绝对不能输给她们!
下次一定会顺利的！,下次表现一定会更好!
肚脐也没办法！,沮丧也不是办法!
啊，故乡,啊啊，故乡
也许质量好的鞋子比较好,品质好的运动鞋或许不错
训练文稿似乎不错,训练用教科书或许不错
来，认真比赛！,来吧，认真笔试！
不，由我来代替吧,不，我代替你上吧
尊重她的意志,尊重她的意愿
建议练习中心,劝她练习中央位置的舞步
为了让它变得更加美丽☆,为了变得美丽☆
自己全力去碰撞什么的…？,自己主动全力迎击如何……？
以关西人那样的节奏和气势，之类的…？,像关西人一样顺势而为如何……？
实现愿望的圣诞色,能实现愿望的圣诞节配色
今后也要背负着大家的愿望奔跑！,之后也要背负着大家的愿望奔跑喔!
这件衣服很适合海地呢！,这套决胜服很适合素质喔!
不好吗？,有何不可？
又不是ガラ,我又不适合这种的
刚才看到的可爱的衣服是？,比起这个，你刚刚在看的可爱衣服呢？
一定要！但是朋友可以吗？,拜托你了！但朋友那边没关系吗？
……减肥不甜哦？,……减肥可不甜蜜喔？
不是很好吗~，不是很好吗~,有何不可~有何不可嘛~
不是机器人,并不是改造人
抑扬顿挫地说吧！,讲话注意抑扬顿挫!
花店的一页,在花店的-页
我帮你浇水吧？,我来帮你浇水吧?
我来献花吧？,我来帮你把花搬上架陈列吧?
无需问答的Marvelous☆,不由分说的美丽☆
最近没有力气,最近一直感到很无力
我想拿出更多的干劲来,我想要更有干劲
应该在沙滩上锻炼身体,应该在沙滩锻炼体干
施加精神上的负荷吧,再增加点精神负荷吧
最喜欢新的东西了！,最喜欢新东西！
用茶杯喝吗？,你要用茶杯喝吗 ?
甜瓜苏打是第一次？,你是第一次喝哈密瓜汽水吗 ?
希望优秀素质能健健康康,希望优秀素质身体健康
为了增加漂亮的自然风景的特长,希望优秀素质的特技能增加
……追加训练吧！,……来追加额外训练吧！
我们也全力休息吧,我们也要用尽全力好好休息
因为你很强所以我赢了,你会赢是因为你很强
说下次要以实力取胜,下次要说是靠自己的实力赢的
……大家能玩的游戏什么的？,……像是大家一起玩的游戏之类的 ?
大家一起捉迷藏！,大家一起玩鬼抓人!
映照出的思念,照映出的思绪
不试试看就不知道,不试试看怎么会知道
那么，我去！,那我去帮忙!
借体育馆跑吧！,借体育馆来训练吧!
做晴天娃娃吧！,来做晴天娃娃吧!
经常思考着锻炼吧！,谨慎思考后再进行训练!
以健康为志向，吃饭也很用心！,注重健康，注意饮食!
掌握一个超群的特技！,学会一项傲人的特技!
好开心！贴身采访！,愉快！贴身采访！
我是值得尊敬的理事长,是值得尊敬的理事长
似乎经常暴走,好像常常失控……
象暴风雨一样的帮手,如暴风雨般的救星
首先要研究作战计划,总之要先制订作战计划
真好啊！只有特训！,很好！只有特训一途了！
再自豪一点吧！,你可以更为自己感到骄傲喔！
满足于此吗？,这样你就满足了吗？
和教练员一样的知识,不下于训练员的知识
素质小姐和辛苦了的教练,素质小姐与辛苦的训练员
我真的很喜欢natu的歌,但我是真的喜欢素质的歌声
如果是这个歌声的话，演唱会也很棒呢！,有这副歌喉，演唱会也没问题了呢！
人太多了……,人潮很麻烦呢……
为了不输给潮流加油前进吧,不要输给人潮，努力推挤前进
看清潮流前进吧,看穿人潮的流向再向前进
需要验证、他人介入导致的偶发性,需要验证·他人介入所导致的偶然
跑步法,跑法
在兜风中,揪~四要酷炫兜风
陌生的街道,陌生街道
大街上的劲敌,大街上的强敌
走岔路,走小路吧
全力疾驰,全力冲刺过去
我才不怕呢！,才不怕呢！
两个人跑的话很快就到了,两个人一起跑的话很快就到了
可能会被妖怪埋伏在那里,说不定有鬼正在埋伏喔
微微苦涩的闪闪发光,微微苦涩的闪耀
不如说是开拓了道路,反倒是道路被拓宽了才对
逃跑的路我来准备,我来帮你规划逃跑路线
突然逃走,奔逃的不死三振
我的做法,我的作法
最适合自己的方法！,用适合自己的方式最好！
忍耐后跑步更舒服,忍耐过后再全力奔跑会更爽快喔
啊，素质的话没问题！,是啊，素质一定办得到的
不要掩饰悔恨,别掩饰不甘心的心情
追求，个性！,寻求个性!
和别的马娘商量,要不要去找其他赛马娘商量?
我觉得就这样就可以了,我觉得现在这样就很好了
对不起，但是很担心,抱歉，但我很担心
……我知道了，我相信海神！,……我知道了，我相信素质！
姐姐的做法☆,姐姐的作风☆
丸善斯基是最适合的,丸善斯基很适合这种角色
一开始就跑出去也是大人的工作,身先士卒也是大人该做的事
知道了，干吧,我知道了，那就跑吧
算了吧,还是先不要吧
丸善斯基说“喜欢”,丸善斯基・畅谈「喜欢」
谁也追不上的速度,无人可及的速度
无论何时都能露出从容的笑容,任何时候都游刃有余的笑容
互相支持的秘诀,互相扶持的秘诀
为了能得到更多的依赖，我也会努力的,我也会努力，让你感到更可靠
我也被你支持着,你也是我的支柱喔
充满回忆的味道的狂热☆,用回忆的味道热力四射☆
卡路里没问题吗？,卡路里没问题吗 ?
全力去吧！,大吃特吃吧!
不是不好的比赛,你跑得不差
加油吧！,拿出干劲吧！
想提高原味的速度！,想提升你特有的速度感!
想彻底管理身体状况！,想彻底做好你的健康管理!
想增加擅长的奔跑！,想增加你擅长的跑法!
哪怕是一点点也要靠近,就算稍微接近也好
希西亚玛姐姐奋斗记～追逼篇～,菱亚姐姐奋斗记 ~追到天涯海角篇~
以气魄压倒对手,用气魄压制对手
从大外侧进攻看看,大幅绕到外侧进攻
黑女友，一起玩吧♪,嘿那边的小姐，一起玩玩吧♪
也有悠闲地回到学校的方法,慢慢走回学园也是一种选择
我觉得稍微玩一下也可以,我觉得稍微玩一下也没关系
憧憬的……,我向往的……
非常有大人的感觉,感觉非常成熟喔
嗯……,这个嘛……
温暖爱情便当,温暖的爱心便当
可爱的菜,配菜很可爱
似乎有营养,看起来很有营养
永远在心中舞台上☆,心中常有舞台☆
学习也不要偷工减料,念书也别偷懒喔
向着梦想加油！,朝着梦想努力吧!
去后辈那里,你先去找后辈们吧
想办法改一下吧,我来设法修修看
开超级车兜风！,开超跑兜风!
挑战到极限吧！,继续挑战，直到极限吧！
是平衡的训练吧,大概是各方面都均衡地训练吧
磨练擅长的武器吧,应该是磨练自己的长处吧
期待下次！,期待你下次的表现!
沮丧也不是办法!,沮丧也无济于事!
街上的流行趋势制造商♪,街头的潮流推手♪
做磨练品位的特训吧,进行提升品味的特训吧
对自己有信心,你要对自己有自信
摆出高高在上的架势！,表情不错!
那么可以把胡萝卜分开吗？,那么，可以把胡萝卜分给我吗？
家务技巧也交给我吧！,家事的技术也难不倒我幄
从以前开始就很可靠呢,你从以前就很可靠呢
一个人生活不是很辛苦吗？,一个人生活不会很辛苦吗 ?
跳舞很精彩！,深爰跳舞!
技术力量！,技术能力!
表现力！,表现能力!
安〜心笹针师，参☆上,安心~竹针师登☆场
瞄准成为强马娘的秘孔,能变成强大赛马娘的秘密穴位
瞄准在比赛中获胜的秘诀,能在竞赛获胜的秘密穴位
瞄准健康的秘诀,能变得活力又健康的秘密穴位
瞄准提高魅力的秘孔,能提升魅力的秘密穴位
有些不安所以还是算了吧,觉得不安，还是算了
不太明白啊,我不太清楚耶
好怀念啊,真令人怀念
还可以！,你还能更好！
瘦肉料理！,Let's料理！
两三下就能煮好的料很多的汤！,快速完成的料多味美汤!
慢慢煮的料理！,花时间慢慢熬煮的料理!
帅哥必胜法！,又酷又炫的必胜法!
体力胜负的A计划！,以体力决胜的A计划!
诡计多端的B计划！,以智慧取胜的B计划!
恶作剧是有计划的,恶作剧要有计划性
想着富士山的奇迹吧！,你这其实也是为了富土奇石着想，对吧！
最好老实道歉,老实地道歉比较好吧
为了达到高处,为了达到巅峰
锻炼耐力和毅力,锻炼持久力和意志力
有意识地开始冲刺,多注重起跑冲刺
美丽地绽放吧♪,要开美美的花喔♪
分门别类谋求效率化！,那我们分头进行提高效率吧!
快往喷壶里倒水！,那我赶快用喷壶装水过来!
热情的二人,热情的两人
我还想听更多的话！,我想再听你多说一点!
那么，因为有工作，差不多该…,我还有工作要做，所以差不多该……
《200亿的女人～危险的专职主妇～》,《200亿的女人～危险的全职主妇～》
《一条白球飞向天空——热血棒球部的故事！》,《独爱白球飞向蓝天--热血棒球社物语！》
相遇是时尚☆,最时髦的相遇方式☆
嗯，就这样！,不管了，就演吧！
好好珍惜两个人的故事吧,好好珍惜那两人的故事吧
那个也好这个也好，都很烦恼！,这个也好那个也不错，真烦恼!
应该吃好吃的东西,应该要去吃点好吃的东西
想到的地方全部去吧！,有想做什么就都去做吧!
代替他教你很厉害的咒语吧,教你一个厉害的咒语当补偿吧
再去寻找麻雀吧,我们再去找麻雀吧
在拐角处要小心！,我会多注意转角处！
最好不要在这里全力以赴,那还是别把全力用在这会比较好喔
快去吧,快去赴约吧
以西城为目标,锁定「城市景点」
根据这张地图，现在所在地和目的地是……,从这张地图来看，目前位置跟目的地是……
可以使用导航应用程序哦,可以用导航软体啊
回忆中的荞麦面,回忆起来软呼呼，碗子荞麦面
比如说什么？,举例来说是什么东西呢?
变得想吃鳄鱼荞麦面了呢,我开始想吃碗子荞麦面了
奇迹☆逃避,Miracle☆Escape！
接受补习吧,乖乖上课后辅导吧
跑吧跑吧！,逃跑吧！
好好休息,让她充分休息
让他加油,要她加油
稍微休息一下吧,就算是轻伤也要好好休息
不愧是年轻人！回到训练吧！,不愧是年轻人，我们回去训练吧！
利用战略☆,使用时务必要有战略性☆
同意圣战天空,同意青云天空
传达被欺骗了,说这是在模糊焦点
马苏嫉妒,肌肉警报
积累起来的真相,日积月累的真正实力
让我看看你的力量吧！,让大家看看你的实力吧！
把雨吹跑吧！,把雨全部甩开吧！
热爱,热爱某样东西爱到不行
吹牛皮,摊开大布条
有大局观,培养观察大局的能力
七上八下的水族馆,心跳加速水族馆
喝点凉的吧,喝点冰凉的饮料吧
集中在水槽里吧,专心看水槽吧
少说废话,不要说多余的话
肌肉休息日,肌肉的休息日
要一半吗？,要我帮你吃一半吗?
自己拿的话必须要吃,既然自己盛了就要吃完
真正的清爽,真正的爽朗
不是表演而是展示真的,不用演技，展现出真实的自己呢？
试着展示更多的跃动感,再多表现出一些跃动感呢？
恭喜！,恭喜你!
本申请的发现,找出宿愿
赤马！,Let's muscle！
可能是因为想休息所以在喊……！,或许是在喊着想休息……！
周围人看来的胜负服装,我在旁人眼中的决胜服打扮
魅力是一种积累,魅力其实是累积出来的
你是我十分憧憬的存在,你已经是个令人崇拜的存在了
以防万一，今天就休息吧,保险起见，今天就休息吧
振作精神吧,你要小心点喔
跑得很有力,你跑得很强劲有力呢
为了不输，要更加锻炼才行！,要更努力锻炼才不会输!
严禁乱来！,严禁逞强!
不要着急，好好治好就好了,不要急，好好接受治疗就行了
病从心开始！,病由心生!
啊，想要守护……！,啊啊，想守护……！
一脸严肃的修行中的表情,你的表情像在进行严厉的修行
也有有趣的一面呢,你也有有趣的一面啊
小马少女和狼王子,幼驹少女与野狼王子
那我也去看看吧,那我也来看吧
已经差不多开始了吧？,应该差不多要开演了吧?
怎么回答呢……,该如何回答才好……
试着实践一下训练怎么样？,让他们看你实际训练的样子?
不擅长的话就一点点克服吧,不擅长的话就试着慢慢克服吧
刚毅朴实，接近仁,刚毅木讷，近仁
集中在拳头的加速上的是？,专心提升拳头的速度如何?
集中于拳头力量的是？,专心提升拳头的力量如何?
修复损伤部位之前,应该先修理损伤的部位
现在马上升级程序吧！,现在即刻升级系统!
你是最棒的！！,太棒了!
往更高的目标迈进吧！,往更高的目标迈进吧！
去获得必杀技吧！,取得必杀技吧！
好球，看起来很帅,马赫突击感觉好帅
不要乱来,不要太过勉强比较好喔
双割惯犯,双人优惠惯犯
《喂，好烫》,《反击吧！暴食力士》
《JAM・奇迹的弹仓》,《JAM・奇迹弹匣》
命令必须遵守,不可违反命令
从开店前就开始等待吧,在贩卖部要开店前就来待机吧
午休的时候冲刺！,午休一到就立刻冲到贩卖部！
关心也交给我吧♪,要体贴请交给我♪
更加声援,给她更多鼓励
