主人公的红色！,主角的红色!
插入饮料,给她饮料
也交给我帮忙吧♪,要帮忙请交给我♪
请告诉我训练的诀窍,告诉我训练的诀窍
不一起训练吗？,要一起训练吗 ?
宝冢纪念之后的关键词②,宝塚纪念结束后关键字②
好厉害,确实超厉害的
在历史上刻上名字的水平很厉害,厉害到可以名留青史
向前走的人,一意往前之人
跑吧,向前跑
谈吧,说出来
不服输的战斗！,不能输的战斗！
抓住人群！,掌握人潮的动向吧!
好好观察对手吧,仔细观察对手吧
但是，首先辛苦了,不过，还是得跟你说一声辛苦了
下次让我们看看“皇帝”的奔跑吧！,下次让大家见识「皇帝」的实力吧!
“贤良方正”要经常做出最好的选择,「贤良方正」，永远能做出最好的选择
“十全健康”心和身体都要珍惜,「身强体健」，爱惜身心
使用各种各样的技能,「百般精通」，学会使用各式各样的技术
那我陪你去吧,那我陪你吧
不要小看我的小敌人,轻敌可是大忌
达到胜利者的练习曲,成为赢家的练习曲
普通地打胜利比较好……,还是做普通的胜利绕场比较好……
真是不错的表演啊,是段还不错的表演呢
阅读少女与魔法少女？,阅读少女和魔法少女?
通过读书来加深知识吧,透过阅读加深知识
首先从肌肉力量提高开始！,总之先从提升肌力开始
皇帝的余暇,皇帝的闲暇
笑话的特训,进行说笑话特训
雨天比赛的研究,进行雨天比赛的研究
“医食同源”饮食注意健康,「医食同源」，透过饮食提升对健康的注重度
成为“全知全能”最强的“皇帝”,「全知全能」，成为最强的「皇帝」
磨练“风流韵事”的洒脱技巧,「风雅知趣」，精进说笑话的能力
清扫志愿者,打扫志工活动
世界名马娘特别展,世界知名赛马娘特别展
笑着的会长想穿衣服,搞笑会长想穿这种衣服
噱头可能太高了,这些笑话可能太高深了
大家都会震惊吧……,大家可能会被吓到吧……
无论何时任何时候,无时无刻心系学园
今天之内给你处理吧,今天先处理宿舍的事吧
我能帮你什么吗,有没有我能够帮忙的地方?
路的尽头，远方的愿望,道路的尽头，远远瞭望
事到如今还为那种事烦恼吗,你都走到这一步了，还烦恼这种事吗？
途中，回头看,途中，口首
写成“经过报告”就可以了,把这当作「进度报告」就好啦
偶尔也想看看被骂的地方～,偶尔看你被骂的样子好像也不错~
捉迷藏，什么！,是鬼抓人喔！
享受悠闲,我会轻松玩的
真的要玩！,我会认真玩的!
交往！,我陪你!
休息也很重要,休息也是很重要的
摩耶的心跳☆试胆！,重炮的紧张刺激☆试瞻游戏！
那个幽灵很遗憾吧,那个幽灵一定很遗憾吧
在玛雅诺他们的后面……,在重炮等人的身后……
摩耶·起飞☆,重炮·起飞☆
各种各样的比赛都要开球！,朝向许多比赛起飞吧！
知道了玛雅诺的原点,我终于知道你的原点了
好嘞好嘞,好棒好棒
不开心吗？,跑得不开心吗?
初次约会,新年首卖约会
节日约会,年菜约会
新年初次参拜的约会,新年参拜约会
成熟模特的秘诀！,成熟模特儿的秘诀!
确实状态很重要啊,维持状态确实很重要
确实速度感很重要啊,保持迅速确实很重要
当然,当然有
接下来才是开始呢!,还不够!
体重没问题……？,体重不要紧吗……？
看起来很有趣！,好像很有趣!
已经被紧紧抓住了哦,你已经抓住我的心了
那是不努力的话,那你可得好好加油了
摩耶酱的比赛讲座☆,重重的竞赛讲座☆
为了不疲倦而增加体力吧！,增强体力避免筋疲力尽!
抓住超越对手的诀窍吧！,掌握超越对手的诀窍!
请就这样健康地,希望她能一直保持健康活力
希望能多多学习得到成长,"希望她能学到许多,成长茁壮"
为了成为出色的大人,希望她能成为出色的大人
无论到哪里,无论到何处
没关系,可以啊
试着全力奔跑,你尽全力跑跑看
跑起来的程度！！,让人想立刻开跑！！
看完了可以借吗？,你看完后可以借我吗 ?
可以给我看一下跑步的参考吗？,可以跑给我看作为参考吗 ?
那样的话……！,既然你这么说了……！
优等生的一石二鸟！！,模范生的一举两得!!
用抹布擦，速度强化！,用抹布擦地板来强化速度!
通过整理资料室，强化力量！,整理资料室来强化力量!
出门后的乐趣♪,外出后的乐趣♪
干脆绕过山车一周！,干脆多搭几趟云霄飞车!
不休息总之要继续乘坐！,不要休息，总之一直搭就对了!
给你建议的权利！,给你建议我的权利 !
讨论近来的根性论,跟她讨论近年来的意志力理论
谈一下准备的时机,跟她讨论进攻时机
意外的应对,应对突发状况的方式
小栗帽大胃王锦标赛,小栗帽的大胃王大赛
尽情战斗吧！,全力以赴地上吧!
希望适当地保存,希望你能有所保留
贪吃不是摆样子的,贪吃鬼不是浪得虚名
吃饭要适量,饮食最好要适量
饿了就没力气！,饿肚子可是会没力气的!
充满了蕾丝和美食,以竞赛与美食饱餐一顿
今天请客啊！,今天我请客!
下次也全力以赴吧,下次也掌出全力好好加油吧
再加上力量吧！,再加强力量吧
不要输给对方！,别输在心理!
寄托的思念,被托付的意志
比起布娃娃,远胜过玩偶
小栗帽是森林里的看板马娘？,小栗帽是森林的导览赛马娘 ?
总是被帮助着,我一直都有受到你的帮助哦
今后也会继续依赖你,之后也要麻烦你帮忙了
在田地里翻修,在田里锻炼
拔掉杂草吧,拔杂草吧
耕地,耕田吧
迷茫的赛马娘,迷路的赛马娘
找遍吧,所有地方都去找一遍吧
去看看物产展吧,去物产展看看吧
我接受了这份觉悟！,我收到你的觉悟了!
不要被别人的步调所打乱,不要被其他人的步调影响
没必要着急,不用着急
我会不惜协助的！,我会全力帮忙的!
我也考虑了追加菜单哦,我有想好额外的练习内容喔
跑步的量固然重要，但质量也很重要,练习的质与量一样重要
享受！第一！,享受第一吧!
你比谁都第一！,你比任何人都适合第一的称号!
以更厉害的1号为目标！,迈向更棒的第一继续努力吧!
对策也不好好研究的话,也得拟定对策呢
休息也是很重要的,休息也很重要喔
好好地取得数据哦,我会好好纪录资料的
比赛很好哦！,是场很精彩的比赛喔
最后关头太天真了,最后关头太大意了呢
一直跳到极限吧,一直跳到极限为止吧
试着更加意识到指尖的表现吧,多留意指尖的动作吧
首先在这里进行营养补给……,先在这里补充营养……
从基础重新锻炼！,重新锻炼基础！
磨练技术吧！,磨练技巧吧！
1号不能错过！,不能放过第一的机会!
现在为了比赛中的“第一”，要忍耐！,为了在比赛拿下「第一」要忍耐！
尽情去吃，再去抓住“第一”吧！,"尽情吃下去,掌握「第一」吧!"
度过假日的方法,度过假日的方式
有种在室内悠闲度日的感觉,在室内悠闲度过吧
有种在户外活动的感觉呢,到户外动动身体吧
错误指示,误导
生野式万全方法,生野式万全的做法
全部一个人做吗？,全都你自己一个人做?
你相当热心啊,你相当投入呢
燃起来了！！,热血沸腾起来了! !
用简单的曲子来减少错误的是？,试着用简单的歌曲减少失误?
挑战激烈的运动取得分数吧！,挑战高难度歌曲赚取分数吧!
全力思考！,全力思考!
虽然很难实现……,感觉很难实现……
出了有趣的方案啊！,提出了很有趣的想法呢！
有力的步子很好,强而有力的舞步很不错
流动般的动作很好,流水般的动作很不错
竞争对手,顶尖的竞争对手
跑得真像啊,你们的跑法真像
同到一个地方,平手呢
但是好好休息吧,但还是乖乖休息吧
真的吗？,真的吗?
怎么办呢,该怎么做
一起同行的是？,陪她一起并行练跑如何?
也许那个左转隐藏着诀窍,诀窍说不定就藏在你的逆时针绕圈之中
好，一起想吧！,好 我们一起想想看吧!
有时也需要粗暴的治疗！,有时候下猛药也是必要的!
期待下次哦！,我很期待你下次的表现!
马上开始训练！,赶快来训练吧!
无法逃避的选择？,逃不掉的选择?
用粘性强的方法！,选耐用的吧！
要赌上力量！,选能展现力道的吧!
左边好像没有黑痣,左边没有黑痣的样子
找到是为了那个孩子,被找到才是为她好
《如果要隐藏树的话就在森林里》……！,正所谓「藏木于林」……！
来自约15亿年前的你好,从约15亿年前说你好
蛋糕！全部吃完！,嘿~嘿嘿！看我把你们都吃掉!
哼，只能再次逃到未来的世界！,呵，那我就再逃到未来的世界!
在夜晚的公园里玩吧,一起在夜晚的公园玩吧
守夜,监视一整晚
跳快乐的舞蹈,跳愉快的舞蹈
（好吃）多管闲事,（好吃的）鸡婆
萝卜泥吃的速度提高！,利用萝萄泥来加快进食步调!
在宿舍举行天妇罗祭！,口宿舍办天妇罗祭典!
托付的故事,被托付的故事
向图书委员确认一下可能比较好,说不定可以询问图书股长
那本书是怎样的故事？,那本书是在讲怎样的故事 ?
タマモ前辈的学园介绍,玉藻前辈的学园介绍
向导是图书室吗？,是要带她去图书室之类的 ?
向导是健身房之类的吗？,是要带她去健身房之类的 ?
肉之空！,朝向肉的天空!
Take care（当心）！,Take care!
Take off（起飞）！,Take off!
夏娃？,Shall He Hug？
不要畏缩，以强硬的态度去拥抱,以毫不畏惧的强硬态度抱起来
更加放松地抱着,以更轻松的态度抱起来
语言是non-non♪用身体说的！,不能用言语♪要用身体来表达！
高歌,高声唱歌
一边纾解压力一边跳舞,用舞蹈抒发压力
摆出满意的姿势,摆出满足的姿势
海德与希克！,Hide and Seek！
逃走吧……,快逃吧……
这时候要忍耐！,忍着不要出去!
一起回去的戴斯！,一起回去吧!
啊，让你无聊了对不起,是啊，抱歉让你觉得无聊了
有口水哦？,你脸上沾到口水啰
只是一小会儿的话,只能再跑一下子
没关系，一定能赢！,不要紧，我一定会让你赢!
红玫瑰！,Let's 巡逻！
随着她,随她高兴
领回去,带她回去
海鞘战斗！,快枪决斗!
自己,是我
放慢速度吧,加强她的速度
休息的时候好好休息吧,休息时就该好好休息
不断地锻炼武器吧,加紧锻炼她的武器
我的运气……,我的运势……
我想就这样等就行了,就等她自己跑回来吧
大声叫吧！,大声呼唤她吧!
日本加油！,Burger in Japan！
Burger in Japan！,Burger in Japan!
一起去吧,我们一起去吧
外带吧,我们外带吧
有不能输的战斗,一场不能轮的战斗
难道不是对食物的执念吗,应该是对食物的执著吧
歌女魂吧,大概是牛仔女孩的灵魂吧
那就做海的训练吧,不然我们来做海中训练吧
快点结束训练吧！,我们赶快完成训练吧
雷尼力量！,Rainy Powerful！
这样的话就用力……！,既然这样就靠蛮力……！
那就跑到车站吧！,那我们赛跑到车站!
祝你身体健康,我希望大树能身体健康
希望大进能不断成长,我希望能让大树不断成长茁壮
希望泰克的跑得更好,我希望大树的跑法能够更进步
一起跳到极限吧！,我会陪你跳到撑不住为止!
首先请告诉我编舞,希望你先教我舞步
收获节！,收获Festival！
比赛吧！,我们来比赛吧!
给你示范一下,我来示范给你看
和重要的人一起！,跟最重规的人一起!
螃蟹要持之以恒！,吃螃蟹考验的是耐性!
用工具麻利地能行,用工具一下就搞定了
很棒♪练习日,很棒的♪练习好日子
和谁一起跑的话会更开心,和他人一起跑会更开心
练习应该认真,练习就该认真进行
快乐地练习很重要,开心练习是很重要的
去中山庆典那里问一问吧！,去问中山尘典 ?
去中山赛马场就能明白了吧？,去中山赛场就会知道 ?
明天我会赢的！,明天赢的人是我!
你总是这么早吗？,你都这么早来学园吗 ?
第二个也够了不起的,第二个到已经很棒了
是成为范本的跑！,简直是模范的跑法!
还差得远呢！喝！,还不够!喝!
朝着明天暴进吧！,朝明天暴进就对了!
现在等羽化的时候，休息一下吧,现在是等待羽化之时，先休息吧
反过来想做什么？,那我问你，你想做什么?
背，追逐,追逐背影
文莱也很年轻啊~,素质也好青春啊~
我也鼓足干劲了,我也感觉充满干劲了
（和喵一起）不是ガラ,（喵喵什么的）并不适合我
告诉她被治愈也很重要,告诉她被疗愈也是很重要的
告诉你如何进入克里巴,告诉她巧妙入店的方法
在森林里把圆木举起！,在森林里用圆木练举重!
在海里游到极限！！,在海里游到力竭!!
回忆三叶草,回忆的四叶草
最后一个环节,最后的弯道
成为超级健康的优良儿童,成为超级健康好赛赛
做一个超模的马娘,成为超级模范赛马娘
拥有超速以外的武器,拥有超快速度以外的强项
暗黑爆进！,枕草子暴进!
表扬催促学习,称赞她，提升学习动力
设置复习的机会,帮她找机会复习
失败不是坏事,失败不是一件坏事
班级委员长好好地！,班长，振作点！
优雅吗！暴进吗！,潇洒派！还是暴进派！
细细品味一个，优雅派,细细品味单一点心的潇洒派
吃很多，暴进派,大吃一顿的暴进派!
恋爱是暴进！,恋爱暴进！
找到重要的人之类的？,找到很重视的对象之类的 ?
对不起，我也不太清楚,抱歉，我也不太清楚
那样的话，就好像是正式演出一般的特训了！,这样感觉能成为等同正式表演的特训喔！
没关系，我会以不输的气势打电话给你的！,别担心，我会以不输人的气势去打call的！
知道了，干吧！,我知道了，来做吧!
一流的话，退场的时候也要好好珍惜,既然是一流，该知道见好就收
甜党的诱惑,甜食派的话惑
是不是糖分摄取过多了？,不会糖分摄取过量吗 ?
大家都很喜欢我啊！,大家都跟你很要好呢！
不愧是一流,真不愧是一流!
还差得远呢！,还早呢！
首先是正月不胖的马丫头,先让你成为新年不发胖的赛马娘
对能好好休息的马娘,让你成为懂得重视休息的赛马娘
被大家所喜爱的马娘,让你成为受大家爰戴的赛马娘
那才是国王！！,这才是帝王! !
下一个才是最适合一流的结果,下次一定要跑出堪称一流的成果
不是可爱的后辈吗,这不是个很可爰的后辈吗
你有没有做好陪地狱之声的觉悟……？,你有配合地狱打call的决心吗你有配合地狱打call的决心吗……？
电影充满了学习,电影充满着学问喔
在恐怖电影中增强胆量之类的,看恐怖片培养胆量
通过连续剧学习壮大的人类模样,看连续剧学习宏大的人性纠葛
放学后汽水,放学后的柠檬苏打
也听听特别周的意见吧！,也问问特别周的意见吧！
就在天空之城说的右边吧！,选青云天空说的右边吧！
端上热茶,递出热茶
把上衣借给别人,借她外套
心跳鞋,心跳加速运勤鞋
轻便快跑的鞋,轻巧而能快速奔跑的运动鞋
虽然很重但似乎能锻炼的鞋子,沉重却适合用来锻炼的运动鞋
特急利美元航班？,谜题特急件?
难道是平底锅？,该不会是frying pan？
不是面包吗？,应该不是bread吧？
好好休息吧,好好休息
禁止漫画！,不准看漫画!
这点程度没什么大不了的！,这点小事没问题的!
要胶带吗？,我帮你缠运动贴布吧?
以防万一先去保健室吧！,保险起见还是去趟保健室吧!
可靠的帮手登场！,可靠的帮手，登场!
很受欢迎啊,你真受欢迎
作为教练很自豪！,作为你的训练员，我感到很骄傲!
全力发挥热情！,全力发挥热情!
即使那样说……,就算你这么说……
那就尽情地享受吧,那就让我好好享受吧
偶像的小小粉丝们,赛马娘偶像的小粉丝们
我想是肌肉锻炼！,就当作是在重训！
笑容很可爱！,面带笑容可爰地跳吧！
肌肉锻炼已经足够了吗……？,重训已经做够多了吧……
需要验证、睡眠时间和工作效率,需要验证睡眠时间与作业效率
真是强大啊,真是有活力啊
你在埋头写很难的论文啊,你在写很困难的论文啊
希西亚玛姐姐奋斗记～问题儿童篇～,菱亚姐姐奋斗记问题儿童篇
夹击抓住吧,包夹怎么样 ?
引导到运动场吧,把她诱导到操场上吧
实况录音的话CORES是我的命☆,演唱会的灵魂在于粉丝互动☆
法尔·子～～～！,飞.飞~~~!
有点害羞……,有点难为情
